I	ThetaB	xArcMax	LastKernelJ	paramErr
0	25	0.422618	121	0.872366
1	20	0.34202	106	0.75472
1	0.1	0.00174533	9	-0.481696
2	7.85285	0.136629	69	-0.263095
3	17.1838	0.295437	95	0.212256
4	13.0173	0.225245	85	-0.0248966
5	13.4547	0.232676	86	-0.00227896
6	13.4987	0.233424	86	4.51773e-05
7	13.4979	0.23341	86	4.95255e-08
8	13.4979	0.233409	86	-4.10437e-13
