i	j	X/R*	R/R*	mach	theta(deg)	Pressure, psia
0	110	1.12745	1.28699	1.9211	14.8983	63.7918
0	111	1.18968	1.30347	1.93878	14.7628	61.9996
0	112	1.25269	1.31999	1.95619	14.6189	60.2788
0	113	1.31645	1.33654	1.97265	14.4892	58.692
0	114	1.38092	1.35312	1.98901	14.3479	57.1534
0	115	1.44608	1.36969	2.00536	14.1927	55.6527
0	116	1.51192	1.38625	2.0215	14.0306	54.2069
0	117	1.57843	1.40276	2.03773	13.8529	52.788
0	118	1.6456	1.41922	2.05369	13.6717	51.4269
0	119	1.71343	1.43559	2.06969	13.4776	50.0948
0	120	1.7819	1.45188	2.08542	13.2812	48.8171
0	121	1.85102	1.46806	2.10125	13.0711	47.5615
0	122	1.92077	1.48412	2.11668	12.8637	46.3674
0	123	1.99115	1.50005	2.13227	12.6421	45.1891
0	124	2.06217	1.51584	2.14758	12.4203	44.06
0	125	2.1338	1.53147	2.16279	12.1933	42.9649
0	126	2.20606	1.54693	2.17805	11.9566	41.8916
0	127	2.27895	1.5622	2.19303	11.7211	40.8634
0	128	2.35249	1.57728	2.20871	11.4576	39.8127
0	129	2.42666	1.59215	2.22318	11.2231	38.866
0	130	2.50142	1.60683	2.23737	10.9906	37.9586
0	131	2.57677	1.6213	2.25146	10.755	37.078
0	132	2.65272	1.63556	2.26567	10.5101	36.2098
0	133	2.7293	1.6496	2.28004	10.2551	35.3514
0	134	2.80651	1.66337	2.29487	9.98115	34.4861
0	135	2.88439	1.67688	2.31015	9.68933	33.6163
0	136	2.96295	1.6901	2.32429	9.42573	32.8303
0	137	3.04214	1.70306	2.3386	9.15293	32.0534
0	138	3.12196	1.71573	2.35226	8.89404	31.328
0	139	3.20243	1.72813	2.36596	8.63018	30.6168
0	140	3.2835	1.74025	2.37921	8.37469	29.9437
0	141	3.36522	1.7521	2.39234	8.11924	29.291
0	142	3.44755	1.76366	2.40519	7.86809	28.6659
0	143	3.53047	1.77493	2.41804	7.6134	28.0541
0	144	3.61398	1.78591	2.43052	7.36541	27.4717
0	145	3.69811	1.7966	2.44281	7.11973	26.9101
0	146	3.78285	1.807	2.45495	6.8753	26.3665
0	147	3.86812	1.8171	2.4668	6.63562	25.8463
0	148	3.95404	1.82691	2.47854	6.39627	25.3407
0	149	4.04052	1.83643	2.49004	6.16081	24.8553
0	150	4.12757	1.84564	2.50133	5.92847	24.3876
0	151	4.21519	1.85456	2.51243	5.6986	23.9362
0	152	4.30338	1.86319	2.52333	5.47167	23.501
0	153	4.39211	1.87151	2.53401	5.24814	23.082
0	154	4.48143	1.87954	2.54452	5.02734	22.6774
0	155	4.57126	1.88727	2.5548	4.80991	22.2879
0	156	4.66163	1.89471	2.56488	4.59584	21.9127
0	157	4.75259	1.90185	2.57479	4.38458	21.5502
0	158	4.84404	1.90869	2.58447	4.17701	21.2017
0	159	4.93598	1.91524	2.59393	3.97314	20.8664
0	160	5.02851	1.92151	2.60324	3.77193	20.542
0	161	5.12152	1.92748	2.61232	3.57456	20.2303
0	162	5.21504	1.93316	2.62119	3.38078	19.9302
0	163	5.30905	1.93856	2.62986	3.19063	19.6414
0	164	5.40354	1.94367	2.63831	3.00422	19.3637
0	165	5.49852	1.9485	2.64657	2.82146	19.0964
0	166	5.59395	1.95305	2.6546	2.64281	18.8399
0	167	5.6899	1.95733	2.66245	2.4674	18.5925
0	168	5.78627	1.96134	2.67007	2.29626	18.3555
0	169	5.88311	1.96508	2.67749	2.12894	18.1277
0	170	5.98036	1.96856	2.68467	1.96599	17.9097
0	171	6.07806	1.97178	2.69165	1.80698	17.7005
0	172	6.17618	1.97474	2.69841	1.65224	17.5002
0	173	6.2747	1.97745	2.70494	1.50196	17.3089
0	174	6.37363	1.97992	2.71125	1.35611	17.1262
0	175	6.47296	1.98215	2.71733	1.21474	16.9518
0	176	6.57266	1.98414	2.72319	1.07802	16.7857
0	177	6.67272	1.98591	2.72879	0.946426	16.6282
0	178	6.77313	1.98746	2.73414	0.820102	16.4793
0	179	6.87391	1.98879	2.73926	0.698573	16.338
0	180	6.975	1.98992	2.7441	0.582782	16.2053
0	181	7.0764	1.99085	2.74867	0.4731	16.0814
0	182	7.1781	1.9916	2.75293	0.37007	15.9665
0	183	7.28008	1.99217	2.7569	0.273694	15.8604
0	184	7.38232	1.99258	2.76051	0.185436	15.7645
0	185	7.48479	1.99284	2.76371	0.106686	15.68
0	186	7.58746	1.99297	2.76637	0.0405368	15.6098
0	187	7.69031	1.993	2.768	0	15.5672
