i	j	x	r	mach	theta	press	temp	Massflow
107	0	0.145215	0.779684	1.19974	3.36272	184.6	1980.55	6.87665
108	0	0.148109	0.77583	1.20062	3.3732	184.393	1980.04	6.80696
109	0	0.151029	0.771951	1.20149	3.38297	184.187	1979.53	6.73716
110	0	0.153977	0.768046	1.20236	3.39205	183.981	1979.02	6.66726
111	0	0.156951	0.764116	1.20323	3.40045	183.776	1978.52	6.59728
112	0	0.159951	0.760162	1.2041	3.40819	183.572	1978.02	6.52723
113	0	0.162978	0.756183	1.20496	3.41528	183.368	1977.52	6.45711
114	0	0.16603	0.75218	1.20582	3.42174	183.165	1977.02	6.38695
115	0	0.169108	0.748153	1.20668	3.42759	182.962	1976.52	6.31676
116	0	0.172211	0.744103	1.20754	3.43285	182.76	1976.02	6.24654
117	0	0.17534	0.74003	1.2084	3.43751	182.558	1975.52	6.17631
118	0	0.178493	0.735933	1.20926	3.44162	182.357	1975.02	6.10608
119	0	0.181672	0.731815	1.21011	3.44517	182.156	1974.52	6.03587
120	0	0.184874	0.727673	1.21097	3.44819	181.955	1974.03	5.96568
121	0	0.188101	0.72351	1.21182	3.45068	181.754	1973.53	5.89553
122	0	0.191352	0.719325	1.21268	3.45267	181.554	1973.03	5.82543
123	0	0.194627	0.715119	1.21354	3.45418	181.353	1972.53	5.75539
124	0	0.197926	0.710891	1.2144	3.4552	181.152	1972.03	5.68542
125	0	0.201248	0.706643	1.21526	3.45577	180.951	1971.53	5.61554
126	0	0.204593	0.702374	1.21612	3.45589	180.749	1971.03	5.54576
127	0	0.207961	0.698085	1.21698	3.45558	180.547	1970.53	5.47608
128	0	0.211352	0.693776	1.21785	3.45485	180.344	1970.02	5.40653
129	0	0.214765	0.689448	1.21872	3.45372	180.141	1969.51	5.33711
130	0	0.218201	0.6851	1.2196	3.45219	179.937	1969	5.26783
131	0	0.221658	0.680733	1.22048	3.45028	179.732	1968.49	5.1987
132	0	0.225138	0.676348	1.22136	3.448	179.526	1967.97	5.12974
133	0	0.228639	0.671944	1.22225	3.44536	179.319	1967.45	5.06096
134	0	0.232161	0.667523	1.22315	3.44238	179.11	1966.93	4.99236
135	0	0.235705	0.663084	1.22405	3.43905	178.9	1966.4	4.92396
136	0	0.23927	0.658627	1.22496	3.43541	178.689	1965.87	4.85577
137	0	0.242856	0.654154	1.22588	3.43144	178.476	1965.34	4.78781
138	0	0.246463	0.649663	1.22681	3.42716	178.261	1964.8	4.72007
139	0	0.250089	0.645157	1.22774	3.42258	178.044	1964.25	4.65257
140	0	0.253737	0.640634	1.22869	3.41771	177.826	1963.7	4.58533
141	0	0.257404	0.636096	1.22964	3.41255	177.605	1963.14	4.51834
142	0	0.261091	0.631543	1.23061	3.40712	177.381	1962.58	4.45163
143	0	0.264798	0.626974	1.23158	3.40141	177.156	1962.01	4.38521
144	0	0.268524	0.622391	1.23257	3.39543	176.928	1961.43	4.31907
145	0	0.27227	0.617793	1.23357	3.38919	176.697	1960.84	4.25324
146	0	0.276035	0.613182	1.23459	3.38269	176.463	1960.25	4.18772
147	0	0.279819	0.608557	1.23562	3.37593	176.226	1959.65	4.12252
148	0	0.283622	0.603919	1.23666	3.36893	175.987	1959.04	4.05765
149	0	0.287443	0.599267	1.23771	3.36168	175.744	1958.42	3.99312
150	0	0.291283	0.594604	1.23879	3.35418	175.498	1957.8	3.92895
151	0	0.295141	0.589927	1.23987	3.34645	175.248	1957.16	3.86513
152	0	0.299018	0.58524	1.24098	3.33847	174.995	1956.51	3.80168
153	0	0.302912	0.58054	1.2421	3.33025	174.738	1955.86	3.73861
154	0	0.306825	0.575829	1.24324	3.3218	174.477	1955.19	3.67592
155	0	0.310755	0.571108	1.24439	3.31311	174.213	1954.51	3.61363
156	0	0.314703	0.566376	1.24557	3.30418	173.944	1953.82	3.55174
157	0	0.318668	0.561634	1.24677	3.29502	173.671	1953.12	3.49026
158	0	0.32265	0.556883	1.24798	3.28562	173.394	1952.41	3.42921
159	0	0.32665	0.552122	1.24922	3.27599	173.113	1951.69	3.36858
160	0	0.330666	0.547352	1.25047	3.26611	172.827	1950.95	3.30839
161	0	0.334699	0.542573	1.25175	3.256	172.537	1950.2	3.24864
162	0	0.338749	0.537786	1.25305	3.24565	172.242	1949.44	3.18934
163	0	0.342816	0.532991	1.25437	3.23505	171.942	1948.66	3.1305
164	0	0.346898	0.528189	1.25571	3.22422	171.638	1947.87	3.07213
165	0	0.350997	0.523379	1.25708	3.21313	171.328	1947.07	3.01423
166	0	0.355112	0.518563	1.25847	3.20181	171.014	1946.26	2.95682
167	0	0.359243	0.513741	1.25988	3.19023	170.695	1945.42	2.89989
168	0	0.36339	0.508912	1.26132	3.1784	170.37	1944.58	2.84345
169	0	0.367552	0.504078	1.26278	3.16631	170.041	1943.72	2.78752
170	0	0.37173	0.499238	1.26427	3.15397	169.706	1942.84	2.73209
171	0	0.375923	0.494394	1.26579	3.14137	169.366	1941.95	2.67718
172	0	0.380132	0.489545	1.26732	3.12852	169.02	1941.05	2.62279
173	0	0.384355	0.484692	1.26889	3.11539	168.669	1940.13	2.56892
174	0	0.388593	0.479835	1.27048	3.102	168.313	1939.19	2.51559
175	0	0.392845	0.474975	1.2721	3.08834	167.952	1938.24	2.46279
176	0	0.397112	0.470112	1.27374	3.07441	167.584	1937.27	2.41054
177	0	0.401394	0.465246	1.27541	3.06021	167.212	1936.28	2.35883
178	0	0.405689	0.460379	1.27711	3.04573	166.834	1935.28	2.30767
179	0	0.409999	0.455509	1.27884	3.03097	166.45	1934.26	2.25708
180	0	0.414322	0.450638	1.28059	3.01593	166.061	1933.23	2.20705
181	0	0.418659	0.445766	1.28238	3.00061	165.666	1932.18	2.15758
182	0	0.423009	0.440894	1.28418	2.985	165.265	1931.11	2.10869
183	0	0.427372	0.436021	1.28602	2.9691	164.86	1930.03	2.06037
184	0	0.431748	0.431149	1.28789	2.95292	164.448	1928.93	2.01263
185	0	0.436137	0.426277	1.28978	2.93645	164.031	1927.81	1.96547
186	0	0.440538	0.421406	1.2917	2.91968	163.609	1926.67	1.9189
187	0	0.444952	0.416537	1.29365	2.90262	163.181	1925.52	1.87293
188	0	0.449378	0.41167	1.29563	2.88526	162.748	1924.35	1.82754
189	0	0.453815	0.406804	1.29764	2.86761	162.309	1923.16	1.78275
190	0	0.458264	0.401942	1.29967	2.84966	161.865	1921.96	1.73856
191	0	0.462724	0.397082	1.30173	2.83142	161.415	1920.74	1.69498
192	0	0.467196	0.392226	1.30382	2.81287	160.961	1919.5	1.652
193	0	0.471678	0.387374	1.30594	2.79403	160.501	1918.25	1.60962
194	0	0.47617	0.382526	1.30809	2.77488	160.036	1916.98	1.56785
195	0	0.480673	0.377683	1.31026	2.75544	159.566	1915.69	1.5267
196	0	0.485186	0.372845	1.31246	2.7357	159.091	1914.39	1.48615
197	0	0.489708	0.368013	1.31469	2.71566	158.611	1913.07	1.44622
198	0	0.494239	0.363186	1.31694	2.69531	158.127	1911.73	1.4069
199	0	0.49878	0.358367	1.31922	2.67468	157.637	1910.38	1.3682
200	0	0.503329	0.353553	1.32153	2.65374	157.143	1909.01	1.33012
201	0	0.507886	0.348748	1.32386	2.6325	156.645	1907.62	1.29265
202	0	0.512452	0.343949	1.32622	2.61097	156.141	1906.22	1.2558
203	0	0.517025	0.339159	1.32861	2.58915	155.634	1904.8	1.21957
204	0	0.521605	0.334378	1.33102	2.56703	155.123	1903.37	1.18396
205	0	0.526191	0.329605	1.33346	2.54462	154.607	1901.92	1.14896
206	0	0.530785	0.324842	1.33591	2.52193	154.087	1900.46	1.11458
207	0	0.535384	0.320089	1.3384	2.49894	153.564	1898.98	1.08081
208	0	0.539989	0.315346	1.34091	2.47567	153.036	1897.49	1.04766
209	0	0.544598	0.310614	1.34344	2.45211	152.505	1895.99	1.01513
210	0	0.549213	0.305893	1.34599	2.42827	151.971	1894.47	0.983209
211	0	0.553832	0.301184	1.34857	2.40416	151.433	1892.93	0.951899
212	0	0.558455	0.296487	1.35116	2.37976	150.892	1891.38	0.921199
213	0	0.563081	0.291802	1.35378	2.3551	150.348	1889.82	0.891107
214	0	0.56771	0.287131	1.35642	2.33016	149.801	1888.25	0.861621
215	0	0.572341	0.282473	1.35908	2.30496	149.251	1886.67	0.832738
216	0	0.576974	0.277828	1.36176	2.27949	148.699	1885.07	0.804458
217	0	0.581608	0.273199	1.36446	2.25376	148.144	1883.46	0.776775
218	0	0.586243	0.268584	1.36718	2.22778	147.587	1881.84	0.749689
219	0	0.590879	0.263984	1.36991	2.20154	147.027	1880.21	0.723196
220	0	0.595514	0.2594	1.37266	2.17505	146.466	1878.56	0.697292
221	0	0.600148	0.254832	1.37543	2.14831	145.902	1876.91	0.671974
222	0	0.60478	0.250281	1.37822	2.12133	145.337	1875.25	0.647239
223	0	0.609411	0.245747	1.38101	2.09412	144.771	1873.57	0.623083
224	0	0.614039	0.241231	1.38383	2.06667	144.203	1871.89	0.599502
225	0	0.618663	0.236733	1.38666	2.03899	143.634	1870.2	0.576492
226	0	0.623284	0.232254	1.3895	2.01109	143.064	1868.5	0.554048
227	0	0.627899	0.227794	1.39235	1.98297	142.493	1866.8	0.532166
228	0	0.63251	0.223353	1.39522	1.95463	141.921	1865.09	0.510842
229	0	0.637115	0.218933	1.39809	1.92608	141.349	1863.36	0.490071
230	0	0.641713	0.214533	1.40098	1.89733	140.777	1861.64	0.469847
231	0	0.646303	0.210154	1.40388	1.86838	140.204	1859.9	0.450166
232	0	0.650886	0.205797	1.40678	1.83923	139.631	1858.17	0.431022
233	0	0.65546	0.201462	1.40969	1.80989	139.059	1856.42	0.41241
234	0	0.660024	0.19715	1.41261	1.78038	138.486	1854.68	0.394324
235	0	0.664578	0.19286	1.41554	1.75068	137.915	1852.92	0.376759
236	0	0.669121	0.188595	1.41847	1.72081	137.344	1851.17	0.359709
237	0	0.673652	0.184354	1.4214	1.69078	136.774	1849.41	0.343167
238	0	0.678171	0.180137	1.42434	1.66059	136.205	1847.65	0.327128
