i	j	x	r	mach	theta	press	temp	massflow
277	224	2.60162	0	2.66768	0	18.4295	1169.95	0
278	225	2.61408	0	2.67472	0	18.2123	1166.78	0
279	226	2.62661	0	2.68176	0	17.9976	1163.63	0
280	227	2.63919	0	2.68883	0	17.7848	1160.47	0
281	228	2.65183	0	2.6959	0	17.5744	1157.32	0
282	229	2.66453	0	2.70299	0	17.3659	1154.17	0
283	230	2.67729	0	2.71009	0	17.1597	1151.02	0
284	231	2.69011	0	2.71721	0	16.9554	1147.87	0
285	232	2.70299	0	2.72433	0	16.7533	1144.73	0
286	233	2.71594	0	2.73148	0	16.5532	1141.6	0
287	234	2.72894	0	2.73863	0	16.3552	1138.46	0
287	235	2.75037	0	2.75038	0	16.0351	1133.33	0
288	236	2.7636	0	2.75766	0	15.8401	1130.17	0
289	237	2.77688	0	2.76489	0	15.6487	1127.04	0
290	238	2.79023	0	2.77217	0	15.4583	1123.89	0
291	239	2.80365	0	2.77944	0	15.2708	1120.76	0
292	240	2.81713	0	2.78674	0	15.0846	1117.62	0
293	241	2.83068	0	2.79403	0	14.9009	1114.5	0
294	242	2.83767	0	2.7978	0	14.807	1112.89	0
