i	j	x	r	mach	theta	press	temp	Massflow
259	242	2.6003	0.0895025	2.66876	1.61916	18.396	1169.46	0.0257946
260	242	2.60684	0.087071	2.67235	1.5736	18.2851	1167.85	0.0243133
261	242	2.61339	0.0846358	2.67594	1.52804	18.1749	1166.23	0.0228792
262	242	2.61994	0.0821969	2.67953	1.48252	18.0653	1164.62	0.0214922
263	242	2.62649	0.0797542	2.68313	1.437	17.9563	1163.01	0.0201517
264	242	2.63305	0.0773078	2.68672	1.39151	17.848	1161.41	0.0188576
265	242	2.63962	0.0748575	2.69032	1.34602	17.7403	1159.8	0.0176094
266	242	2.64619	0.0724033	2.69391	1.30055	17.6332	1158.2	0.0164068
267	242	2.65277	0.0699451	2.69751	1.25507	17.5268	1156.6	0.0152495
268	242	2.66243	0.0663295	2.7028	1.18829	17.3716	1154.25	0.013632
269	242	2.66905	0.0638501	2.70642	1.14253	17.266	1152.65	0.0125804
270	242	2.67567	0.0613674	2.71003	1.09696	17.1613	1151.04	0.0115737
271	242	2.6823	0.0588802	2.71365	1.05131	17.0571	1149.44	0.0106111
272	242	2.68893	0.0563893	2.71727	1.0058	16.9536	1147.85	0.00969256
273	242	2.69557	0.053894	2.72089	0.960224	16.8507	1146.25	0.00881755
274	242	2.70222	0.0513947	2.72451	0.914749	16.7484	1144.66	0.00798594
275	242	2.70887	0.0488909	2.72813	0.86924	16.6467	1143.07	0.00719727
276	242	2.71553	0.046383	2.73175	0.823803	16.5457	1141.48	0.00645136
277	242	2.72219	0.0438707	2.73537	0.778348	16.4452	1139.89	0.0057478
278	242	2.72886	0.0413541	2.73899	0.732948	16.3453	1138.31	0.00508638
279	242	2.73554	0.0388329	2.74261	0.687542	16.246	1136.72	0.00446675
280	242	2.74222	0.0363074	2.74624	0.64218	16.1473	1135.14	0.00388865
281	242	2.74891	0.0337773	2.74986	0.596817	16.0491	1133.56	0.00335178
282	242	2.7556	0.0312427	2.75349	0.551489	15.9515	1131.98	0.00285586
283	242	2.76231	0.0287035	2.75712	0.506165	15.8545	1130.4	0.00240062
284	242	2.76901	0.0261597	2.76075	0.460866	15.7581	1128.83	0.00198577
285	242	2.77573	0.0236112	2.76438	0.41557	15.6621	1127.26	0.00161105
286	242	2.78245	0.021058	2.76802	0.370271	15.5667	1125.68	0.00127618
287	242	2.79347	0.0168669	2.77397	0.296019	15.4116	1123.11	0.00081325
288	242	2.80024	0.0142907	2.77764	0.250355	15.3171	1121.53	0.000581378
289	242	2.80701	0.01171	2.78129	0.204975	15.2234	1119.96	0.000388738
290	242	2.81379	0.00912431	2.78495	0.15942	15.1301	1118.39	0.00023503
291	242	2.82058	0.00653379	2.7886	0.114094	15.0375	1116.82	0.000120011
292	242	2.82737	0.00393823	2.79226	0.0685884	14.9453	1115.26	4.34138e-05
293	242	2.83417	0.00133771	2.79591	0.0233275	14.8539	1113.69	4.98822e-06
294	242	2.83767	0	2.7978	0	14.807	1112.89	0
