i	j	x	r	mach	theta	press	temp	massflow
0	82	0.0784387	1.00308	1.26186	4.49883	170.248	1944.26	11.4416
0	83	0.0793086	1.00315	1.26347	4.54883	169.887	1943.32	11.4416
0	84	0.0801785	1.00322	1.26507	4.59883	169.527	1942.38	11.4416
0	85	0.0810484	1.00329	1.26667	4.64883	169.168	1941.44	11.4416
0	86	0.0819181	1.00336	1.26827	4.69883	168.809	1940.49	11.4416
0	87	0.0827878	1.00343	1.26986	4.74883	168.452	1939.55	11.4416
0	88	0.0836575	1.00351	1.27146	4.79883	168.095	1938.61	11.4416
0	89	0.0847676	1.0036	1.27349	4.86266	167.64	1937.42	11.4416
0	90	0.0856371	1.00367	1.27512	4.91266	167.278	1936.46	11.4416
0	91	0.0865065	1.00375	1.27674	4.96266	166.916	1935.5	11.4416
0	92	0.0873759	1.00382	1.27836	5.01266	166.556	1934.55	11.4416
0	93	0.0882451	1.0039	1.27998	5.06266	166.196	1933.59	11.4416
0	94	0.0891144	1.00398	1.2816	5.11266	165.837	1932.63	11.4416
0	95	0.0899835	1.00406	1.28322	5.16266	165.478	1931.68	11.4416
0	96	0.0908526	1.00414	1.28484	5.21266	165.121	1930.73	11.4416
0	97	0.0917216	1.00422	1.28646	5.26266	164.764	1929.77	11.4416
0	98	0.0925906	1.0043	1.28807	5.31266	164.408	1928.82	11.4416
0	99	0.0934595	1.00438	1.28968	5.36266	164.052	1927.86	11.4416
0	100	0.0943415	1.00446	1.29132	5.41342	163.692	1926.9	11.4416
0	101	0.0952103	1.00454	1.29296	5.46342	163.332	1925.93	11.4416
0	102	0.0960789	1.00463	1.2946	5.51342	162.973	1924.96	11.4416
0	103	0.0969475	1.00471	1.29624	5.56342	162.614	1923.99	11.4416
0	104	0.097816	1.0048	1.29788	5.61342	162.256	1923.02	11.4416
0	105	0.0986845	1.00488	1.29952	5.66342	161.899	1922.05	11.4416
0	106	0.0995528	1.00497	1.30115	5.71342	161.542	1921.08	11.4416
0	107	0.100421	1.00505	1.30279	5.76342	161.186	1920.12	11.4416
0	108	0.101289	1.00514	1.30442	5.81342	160.831	1919.15	11.4416
0	109	0.102157	1.00523	1.30605	5.86342	160.477	1918.18	11.4416
0	110	0.103026	1.00532	1.30768	5.91342	160.123	1917.22	11.4416
0	111	0.10458	1.00548	1.3106	6.00296	159.492	1915.49	11.4416
0	112	0.105448	1.00558	1.31226	6.05296	159.134	1914.51	11.4416
0	113	0.106315	1.00567	1.31391	6.10296	158.778	1913.52	11.4416
0	114	0.107183	1.00576	1.31557	6.15296	158.422	1912.54	11.4416
0	115	0.108051	1.00585	1.31722	6.20296	158.067	1911.56	11.4416
0	116	0.108918	1.00595	1.31887	6.25296	157.712	1910.58	11.4416
0	117	0.109786	1.00604	1.32052	6.30296	157.359	1909.6	11.4416
0	118	0.110653	1.00614	1.32217	6.35296	157.006	1908.62	11.4416
0	119	0.11152	1.00624	1.32382	6.40296	156.653	1907.64	11.4416
0	120	0.112387	1.00634	1.32547	6.45296	156.302	1906.67	11.4416
0	121	0.113255	1.00643	1.32712	6.50296	155.951	1905.69	11.4416
0	122	0.114122	1.00653	1.32877	6.55296	155.601	1904.71	11.4416
0	123	0.115513	1.00669	1.33141	6.63324	155.04	1903.14	11.4416
0	124	0.11638	1.0068	1.33308	6.68324	154.686	1902.15	11.4416
0	125	0.117247	1.0069	1.33475	6.73324	154.334	1901.15	11.4416
0	126	0.118113	1.007	1.33642	6.78324	153.981	1900.16	11.4416
0	127	0.11898	1.0071	1.33808	6.83324	153.63	1899.17	11.4416
0	128	0.119846	1.00721	1.33975	6.88324	153.279	1898.18	11.4416
0	129	0.120713	1.00731	1.34141	6.93324	152.929	1897.19	11.4416
0	130	0.121579	1.00742	1.34308	6.98324	152.58	1896.2	11.4416
0	131	0.122445	1.00752	1.34474	7.03324	152.232	1895.21	11.4416
0	132	0.123311	1.00763	1.34641	7.08324	151.884	1894.22	11.4416
0	133	0.124177	1.00774	1.34807	7.13324	151.537	1893.23	11.4416
0	134	0.125043	1.00785	1.34973	7.18324	151.19	1892.24	11.4416
0	135	0.125909	1.00796	1.35139	7.23324	150.844	1891.25	11.4416
0	136	0.127174	1.00812	1.35382	7.30635	150.34	1889.8	11.4416
0	137	0.12804	1.00823	1.3555	7.35635	149.991	1888.8	11.4416
0	138	0.128905	1.00834	1.35718	7.40635	149.643	1887.8	11.4416
0	139	0.129771	1.00846	1.35887	7.45635	149.296	1886.79	11.4416
0	140	0.130636	1.00857	1.36055	7.50635	148.949	1885.79	11.4416
0	141	0.131501	1.00868	1.36223	7.55635	148.603	1884.79	11.4416
0	142	0.132366	1.0088	1.3639	7.60635	148.258	1883.79	11.4416
0	143	0.133231	1.00892	1.36558	7.65635	147.913	1882.79	11.4416
0	144	0.134096	1.00903	1.36726	7.70635	147.569	1881.79	11.4416
0	145	0.134961	1.00915	1.36894	7.75635	147.226	1880.79	11.4416
0	146	0.135825	1.00927	1.37061	7.80635	146.884	1879.79	11.4416
0	147	0.13669	1.00939	1.37229	7.85635	146.542	1878.79	11.4416
0	148	0.137554	1.00951	1.37396	7.90635	146.201	1877.79	11.4416
0	149	0.138419	1.00963	1.37564	7.95635	145.86	1876.79	11.4416
0	150	0.139596	1.00979	1.37792	8.0245	145.397	1875.42	11.4416
0	151	0.140461	1.00991	1.37962	8.0745	145.054	1874.41	11.4416
0	152	0.141324	1.01004	1.38131	8.1245	144.712	1873.4	11.4416
0	153	0.142188	1.01016	1.383	8.1745	144.37	1872.39	11.4416
0	154	0.143052	1.01028	1.38469	8.2245	144.029	1871.38	11.4416
0	155	0.143916	1.01041	1.38639	8.2745	143.688	1870.37	11.4416
0	156	0.144779	1.01054	1.38808	8.3245	143.349	1869.35	11.4416
0	157	0.145643	1.01066	1.38977	8.3745	143.01	1868.34	11.4416
0	158	0.146506	1.01079	1.39146	8.4245	142.671	1867.33	11.4416
0	159	0.147369	1.01092	1.39315	8.4745	142.334	1866.32	11.4416
0	160	0.148232	1.01105	1.39484	8.5245	141.997	1865.31	11.4416
0	161	0.149095	1.01118	1.39653	8.5745	141.66	1864.3	11.4416
0	162	0.149958	1.01131	1.39822	8.6245	141.325	1863.29	11.4416
0	163	0.150821	1.01144	1.3999	8.6745	140.99	1862.28	11.4416
0	164	0.151683	1.01157	1.40159	8.7245	140.655	1861.27	11.4416
0	165	0.152814	1.01175	1.4038	8.79004	140.218	1859.95	11.4416
0	166	0.153676	1.01188	1.40551	8.84004	139.882	1858.93	11.4416
