i	j	x,in	r,in	mach	theta	pres,psi	temp,R	Density,slug/ft3	massflow
71	0	0.260287	0.631543	1.22979	3.39302	177.57	2717.11	0.00356935	3.78453
72	0	0.267695	0.622391	1.23174	3.38134	177.119	2715.54	0.00356236	3.67186
73	0	0.27518	0.613182	1.23374	3.36862	176.658	2713.92	0.0035552	3.56022
74	0	0.28274	0.603919	1.23579	3.35488	176.185	2712.26	0.00354786	3.44967
75	0	0.290375	0.594604	1.23791	3.34015	175.699	2710.55	0.00354031	3.34028
76	0	0.298082	0.58524	1.24008	3.32446	175.2	2708.79	0.00353254	3.23211
77	0	0.305861	0.575829	1.24232	3.30783	174.686	2706.97	0.00352454	3.12523
78	0	0.31371	0.566376	1.24464	3.29024	174.156	2705.09	0.0035163	3.01968
79	0	0.321628	0.556883	1.24703	3.27172	173.61	2703.15	0.00350779	2.91554
80	0	0.329614	0.547352	1.2495	3.25226	173.047	2701.14	0.003499	2.81284
81	0	0.337667	0.537786	1.25206	3.23184	172.465	2699.07	0.00348992	2.71166
82	0	0.345785	0.528189	1.25471	3.21046	171.865	2696.92	0.00348055	2.61204
83	0	0.353967	0.518563	1.25744	3.18811	171.245	2694.69	0.00347086	2.51402
84	0	0.362212	0.508912	1.26028	3.16476	170.606	2692.39	0.00346085	2.41766
85	0	0.37052	0.499238	1.26321	3.1404	169.945	2690.01	0.00345051	2.32301
86	0	0.378887	0.489545	1.26624	3.11502	169.264	2687.54	0.00343983	2.2301
87	0	0.387314	0.479835	1.26937	3.08858	168.561	2684.98	0.0034288	2.13898
88	0	0.395799	0.470112	1.27262	3.06108	167.836	2682.34	0.00341743	2.04968
89	0	0.40434	0.460379	1.27596	3.03249	167.09	2679.61	0.00340569	1.96225
90	0	0.412936	0.450638	1.27942	3.00278	166.321	2676.79	0.0033936	1.87671
91	0	0.421586	0.440894	1.28299	2.97196	165.53	2673.88	0.00338114	1.7931
92	0	0.430288	0.431149	1.28667	2.93999	164.717	2670.87	0.00336832	1.71145
93	0	0.43904	0.421406	1.29046	2.90687	163.882	2667.77	0.00335514	1.63178
94	0	0.447841	0.41167	1.29436	2.87258	163.025	2664.58	0.0033416	1.55411
95	0	0.456688	0.401942	1.29838	2.83711	162.147	2661.29	0.0033277	1.47847
96	0	0.46558	0.392226	1.3025	2.80046	161.248	2657.91	0.00331345	1.40488
97	0	0.474515	0.382526	1.30674	2.76261	160.327	2654.44	0.00329885	1.33335
98	0	0.48349	0.372845	1.31109	2.72358	159.387	2650.88	0.00328391	1.26389
99	0	0.492503	0.363186	1.31554	2.68336	158.427	2647.22	0.00326864	1.19652
100	0	0.501551	0.353553	1.32011	2.64196	157.448	2643.47	0.00325305	1.13124
101	0	0.510632	0.343949	1.32477	2.59937	156.451	2639.64	0.00323714	1.06805
102	0	0.519742	0.334378	1.32954	2.55561	155.436	2635.72	0.00322093	1.00697
103	0	0.52888	0.324842	1.33441	2.5107	154.406	2631.72	0.00320444	0.947981
104	0	0.538041	0.315346	1.33937	2.46464	153.359	2627.63	0.00318767	0.891089
105	0	0.547223	0.305893	1.34443	2.41746	152.298	2623.47	0.00317064	0.836283
106	0	0.556422	0.296487	1.34957	2.36916	151.224	2619.23	0.00315336	0.783557
107	0	0.565634	0.287131	1.3548	2.31978	150.137	2614.91	0.00313586	0.732897
108	0	0.574855	0.277828	1.36011	2.26934	149.039	2610.53	0.00311815	0.684289
109	0	0.584081	0.268584	1.3655	2.21786	147.931	2606.09	0.00310025	0.637716
110	0	0.593308	0.2594	1.37096	2.16538	146.814	2601.58	0.00308218	0.593158
111	0	0.602532	0.250281	1.37648	2.11191	145.689	2597.01	0.00306395	0.550593
112	0	0.611747	0.241231	1.38206	2.0575	144.559	2592.39	0.00304559	0.509995
113	0	0.620949	0.232254	1.38771	2.00218	143.423	2587.73	0.00302712	0.471338
114	0	0.630133	0.223353	1.3934	1.94598	142.284	2583.02	0.00300855	0.434592
115	0	0.639294	0.214533	1.39913	1.88895	141.143	2578.27	0.00298992	0.399725
116	0	0.648425	0.205797	1.4049	1.83112	140.001	2573.49	0.00297123	0.366703
117	0	0.657522	0.19715	1.41071	1.77255	138.86	2568.68	0.00295252	0.335489
118	0	0.666578	0.188595	1.41653	1.71326	137.72	2563.85	0.00293381	0.306044
119	0	0.675587	0.180137	1.42238	1.65333	136.584	2559	0.00291512	0.27833
120	0	0.684542	0.17178	1.42824	1.59278	135.452	2554.14	0.00289647	0.252304
121	0	0.693438	0.163529	1.4341	1.53169	134.327	2549.28	0.00287788	0.227921
122	0	0.702266	0.155388	1.43996	1.47011	133.209	2544.42	0.00285938	0.205136
123	0	0.711021	0.147362	1.44581	1.4081	132.099	2539.56	0.00284099	0.183902
124	0	0.719695	0.139455	1.45164	1.34572	131	2534.72	0.00282274	0.164171
125	0	0.728279	0.131672	1.45745	1.28306	129.913	2529.89	0.00280464	0.145893
126	0	0.736767	0.124019	1.46322	1.22017	128.838	2525.1	0.00278672	0.129016
127	0	0.74515	0.116499	1.46896	1.15715	127.778	2520.33	0.00276901	0.113489
128	0	0.753419	0.10912	1.47464	1.09408	126.733	2515.61	0.00275152	0.0992582
129	0	0.761566	0.101886	1.48027	1.03104	125.705	2510.93	0.00273428	0.0862694
130	0	0.769582	0.0948022	1.48583	0.968147	124.695	2506.31	0.00271732	0.0744679
131	0	0.777457	0.0878758	1.49132	0.905492	123.704	2501.75	0.00270066	0.063798
132	0	0.785182	0.0811128	1.49673	0.843192	122.735	2497.26	0.00268431	0.0542037
133	0	0.788963	0.0745198	1.49924	0.777354	122.287	2495.17	0.00267675	0.0456894
134	0	0.789884	0.0681039	1.49965	0.710237	122.213	2494.83	0.00267549	0.0381503
135	0	0.79033	0.0618726	1.49975	0.644773	122.195	2494.74	0.0026752	0.0314851
136	0	0.790762	0.0558341	1.49987	0.581497	122.175	2494.65	0.00267485	0.0256367
137	0	0.791178	0.0499971	1.5	0.520462	122.151	2494.54	0.00267445	0.0205545
138	0	0.791378	0.044371	1.5	0.46161	122.151	2494.54	0.00267446	0.0161884
139	0	0.791474	0.0389664	1.49994	0.405131	122.161	2494.59	0.00267463	0.0124849
140	0	0.791657	0.033795	1.49997	0.351229	122.156	2494.56	0.00267454	0.00939056
141	0	0.791744	0.0288697	1.49995	0.29992	122.16	2494.58	0.00267461	0.0068528
142	0	0.791827	0.0242056	1.49994	0.25139	122.162	2494.59	0.00267463	0.00481737
143	0	0.791981	0.0198201	1.5	0.20582	122.151	2494.54	0.00267445	0.00322979
144	0	0.792017	0.0157341	1.49999	0.163357	122.154	2494.55	0.00267449	0.00203537
145	0	0.79205	0.0119729	1.49998	0.124291	122.154	2494.55	0.00267451	0.00117858
146	0	0.79208	0.00856924	1.49998	0.0889506	122.154	2494.55	0.0026745	0.000603727
147	0	0.792107	0.00556695	1.49999	0.0577841	122.153	2494.55	0.00267448	0.000254793
148	0	0.792118	0.00303068	1.49999	0.0314573	122.152	2494.54	0.00267447	7.55149e-05
149	0	0.792126	0.0010716	1.5	0.0111227	122.152	2494.54	0.00267446	9.44088e-06
150	0	0.792131	0	1.5	0	122.151	2494.54	0.00267445	0

0	1	8.7225e-05	1	1.13227	0.0130828	200.951	2794.99	0.00392679	9.71869
1	1	0.000218151	0.999754	1.13212	0.0165376	200.989	2795.11	0.00392736	9.71394
2	1	0.000436333	0.999343	1.13187	0.0222746	201.052	2795.31	0.00392831	9.70601
3	1	0.000741745	0.998767	1.13151	0.0302631	201.139	2795.59	0.00392963	9.69491
4	1	0.00113436	0.998026	1.13106	0.0404611	201.251	2795.95	0.00393132	9.68063
5	1	0.00161416	0.997119	1.13052	0.0528154	201.387	2796.38	0.00393336	9.66316
6	1	0.0021811	0.996045	1.12987	0.0672618	201.546	2796.88	0.00393576	9.6425
7	1	0.00283517	0.994803	1.12914	0.0837259	201.728	2797.46	0.00393849	9.61863
8	1	0.00357633	0.993393	1.12833	0.102123	201.931	2798.1	0.00394155	9.59154
9	1	0.00440456	0.991813	1.12743	0.12236	202.154	2798.81	0.00394491	9.56123
10	1	0.00531984	0.990061	1.12645	0.144334	202.397	2799.57	0.00394857	9.52767
11	1	0.00632213	0.988137	1.1254	0.167934	202.659	2800.4	0.00395251	9.49085
12	1	0.00741142	0.986038	1.12428	0.193043	202.937	2801.28	0.0039567	9.45076
13	1	0.00858767	0.983764	1.1231	0.219538	203.232	2802.21	0.00396113	9.40739
14	1	0.00985088	0.981311	1.12186	0.247288	203.541	2803.18	0.00396578	9.36071
15	1	0.011201	0.978678	1.12057	0.276158	203.862	2804.19	0.00397061	9.31071
16	1	0.0126381	0.975863	1.11924	0.306011	204.196	2805.24	0.00397562	9.25738
17	1	0.014162	0.972865	1.11787	0.336706	204.538	2806.31	0.00398076	9.2007
18	1	0.0157729	0.969679	1.11646	0.368099	204.889	2807.41	0.00398603	9.14066
19	1	0.0174706	0.966306	1.11504	0.400047	205.246	2808.53	0.00399139	9.07725
20	1	0.0192552	0.962742	1.11359	0.432404	205.608	2809.66	0.00399682	9.01046
21	1	0.0211266	0.958984	1.11214	0.465028	205.972	2810.8	0.00400228	8.94028
22	1	0.0230848	0.955032	1.11069	0.497776	206.338	2811.93	0.00400776	8.86671
23	1	0.0251299	0.950882	1.10924	0.530509	206.702	2813.07	0.00401321	8.78976
24	1	0.0272618	0.946532	1.1078	0.563092	207.063	2814.19	0.00401863	8.70942
25	1	0.0294804	0.941981	1.10638	0.595391	207.42	2815.3	0.00402397	8.62572
26	1	0.0317857	0.937226	1.10499	0.627281	207.77	2816.38	0.00402921	8.53866
27	1	0.0341778	0.932266	1.10364	0.658639	208.112	2817.44	0.00403432	8.44827
28	1	0.0366564	0.927099	1.10232	0.689349	208.444	2818.47	0.00403929	8.35458
29	1	0.0392217	0.921725	1.10105	0.719304	208.764	2819.45	0.00404407	8.25763
30	1	0.0418736	0.916141	1.09984	0.748401	209.071	2820.4	0.00404865	8.15746
31	1	0.0446119	0.910348	1.09869	0.776546	209.362	2821.3	0.00405301	8.05414
32	1	0.0474365	0.904344	1.0976	0.803652	209.638	2822.14	0.00405712	7.94772
33	1	0.0503475	0.898131	1.09658	0.829641	209.895	2822.94	0.00406096	7.83829
34	1	0.0533446	0.891708	1.09564	0.854443	210.133	2823.67	0.00406451	7.72592
35	1	0.0564278	0.885076	1.09478	0.877997	210.351	2824.33	0.00406776	7.6107
36	1	0.0595969	0.878236	1.09401	0.90025	210.547	2824.94	0.00407069	7.49275
37	1	0.0628518	0.871191	1.09332	0.921158	210.721	2825.47	0.00407328	7.37217
38	1	0.0661923	0.863942	1.09273	0.940684	210.872	2825.93	0.00407553	7.24909
39	1	0.0696182	0.856491	1.09223	0.958802	210.999	2826.32	0.00407743	7.12363
40	1	0.0731294	0.848843	1.09182	0.975493	211.102	2826.64	0.00407897	6.99595
41	1	0.0767256	0.840999	1.09151	0.990745	211.181	2826.88	0.00408014	6.86618
42	1	0.0804065	0.832964	1.0913	1.00456	211.235	2827.04	0.00408095	6.73447
43	1	0.0841719	0.824742	1.09118	1.01693	211.265	2827.13	0.00408139	6.601
44	1	0.0880216	0.816338	1.09116	1.02787	211.27	2827.15	0.00408147	6.46591
45	1	0.0919552	0.807756	1.09124	1.03741	211.25	2827.09	0.00408118	6.32938
46	1	0.0959724	0.799001	1.09141	1.04556	211.208	2826.96	0.00408054	6.19158
47	1	0.100073	0.790078	1.09167	1.05234	211.141	2826.76	0.00407955	6.05268
48	1	0.104256	0.780993	1.09202	1.05781	211.053	2826.48	0.00407823	5.91286
49	1	0.108522	0.771751	1.09245	1.06197	210.942	2826.15	0.00407658	5.77228
50	1	0.112869	0.762357	1.09297	1.06489	210.81	2825.74	0.00407461	5.63111
51	1	0.117298	0.752818	1.09358	1.06659	210.657	2825.27	0.00407233	5.48953
52	1	0.121808	0.743138	1.09425	1.06712	210.485	2824.75	0.00406976	5.34769
